ID,LEXEME - curly ’unuhw,LEXEME - straight 'unuhw,ROOT,PARSE,DEFINITION,NOTE
265,shts’uluhwus,shts'uluhwus,√ts’uluhw,shhw=√ts’uluhw=as,mask,
266,shts’ul-hwiwun,shts'ul-hwiwun,√ts’uluhw,shhw=√ts’uluhw=iwun,insides of,
267,ts’umiil’,ts'umiil',√ts’umiil’,√ts’umiil’,thin,
268,ts’ulumiil’,ts'ulumiil',√ts’umiil’,√ts’umiil’=PL,thin PL,
269,ts’uli’ts’umiil’,ts'uli'ts'umiil',√ts’umiil’,√ts’umiil’=DIM=PL,thin DIM PL,
270,ts’ule’ts’umiil’,ts'ule'ts'umiil',√ts’umiil’,√ts’umiil’=DIM=PL,thin DIM PL,
271,ts’i’ts’umiil’,ts'i'ts'umiil',√ts’umiil’,√ts’umiil’=DIM,thin DIM,Also pronounced ts'i'ts'umiil'.
272,tsts’um’,tsts'um',√ts’um’,ts=√ts’um’,bite: get a bite (fishing),
273,ts’um’ut,ts'um'ut,√ts’um’,√ts’um’=t,bite: put in mouth,
274,ts’um’nuhw,ts'um'nuhw,√ts’um’,√ts’um’=nehw,bite: get it in one's mouth (accidentally),
275,ts’um’et,ts'um'et,√ts’um’,√ts’um’=t=DUR,"bite (a hold on),catch it in your teeth",
276,tsts’um’um,tsts'um'um,√ts’um’,ts=√ts’um’=m,have fish take the hook,
277,ts’um’utun,ts'um'utun,√ts’um’,√ts’um’=ten,hook: a special fish hook for fishing that opens out,
278,shts’um’inus,shts'um'inus,√ts’um’,shhw=√ts’um’=inus,Stz'uminus; village at Kulleet Bay,
279,ts’um’ts’uyii,ts'um'ts'uyii,√ts’um’,√ts’um’=ayi=RDP,ant,
280,ts’um’ush,ts'um'ush,√ts’um’ush,√ts’um’ush,roe: herring roe,
281,ts’um’shaythun,ts'um'shaythun,√ts’um’sh,√ts’um’sh=ay=thin,jaw,
282,ts’unum,ts'unum,√ts’unum,√ts’unum,tremble,
283,ts’unum,ts'unum,√ts’unum,√ts’unum=PROG,trembling,
284,sts’uphwun’,sts'uphwun',√ts’uphwun’,s=√ts’uphwun’,wart,
285,tsts’uphwun’,tsts'uphwun',√ts’uphwun’,ts=√ts’uphwun’,wart: have a wart,
286,ts’uq’,ts'uq',√ts’uq’,√ts’uq’,astonished,
287,ts’uqwula’,ts'uqwula',√ts’uqwulu’,√ts’uqwulu’,ballgame: name of a traditional ballgame,
288,ts’usqun,ts'usqun,√ts’us,√ts’us=qen,eagle: golden eagle," See also yuxwule',eagle."
289,ts’usqun’,ts'usqun',√ts’us,√ts’us=qen,feather (wing and tail feathers of the eagle),Worn by hunters and dancers.
290,ts’ut’qw’,ts'ut'qw',√ts’ut’qw’,√ts’ut’qw’,"crumble,break into pieces",
291,sts’at’qw’,sts'at'qw',√ts’ut’qw’,s=√ts’ut’qw’=STA,ground up,
292,ts’ut’qw’t,ts'ut'qw't,√ts’ut’qw’,√ts’ut’qw’=t,"grind,pulverize,smash it",
293,ts’at’qw’t,ts'at'qw't,√ts’ut’qw’,√ts’ut’qw’=t=PROG,"grinding it,pulverizing,smashing it",
294,ts’i’ts’at’qw’t,ts'i'ts'at'qw't,√ts’ut’qw’,√ts’ut’qw’=t=DIM=PROG,grinding it DIM; breaking it to bits DIM,
295,ts’uli’ts’at’qw’t,ts'uli'ts'at'qw't,√ts’ut’qw’,√ts’ut’qw’=t=DIM=PL=PROG,grinding them DIM,
296,ts’ut’qw’els,ts'ut'qw'els,√ts’ut’qw’,√ts’ut’qw’=els,grind up,
297,ts’at’uqw’ul,ts'at'uqw'ul,√ts’ut’qw’,√ts’ut’qw’=il,"crumble,fall to pieces",See also ts'at'uqw'um.
298,ts’at’uqw’um,ts'at'uqw'um,√ts’ut’qw’,√ts’ut’qw’=m,"crumble,fall to pieces",See also ts'at'uqw'ul.
299,ts’at’qw’ul’s,ts'at'qw'ul's,√ts’ut’qw’,√ts’ut’qw’=els=PROG,grinding something up,
300,ts’at’uqw’ul’,ts'at'uqw'ul',√ts’ut’qw’,√ts’ut’qw’=il=PROG,falling apart (from cooking),
301,shts’at’qw’ul’s,shts'at'qw'ul's,√ts’ut’qw’,shhw=√ts’ut’qw’=els=PROG,grinder,
302,ts’ut’qw’mun,ts'ut'qw'mun,√ts’ut’qw’,√ts’ut’qw’=min,"droppings from the table,bits",
303,ts’uwxilum,ts'uwxilum,√ts’uwxilum,√ts’uwxilum,Tzouhalem: the mountain and the name of the man,
304,ts’uhwle’,ts'uhwle',√ts’uhwle’,√ts’uhwle’,sometimes,
305,ts’uy’hw,ts'uy'hw,√ts’uy’hw,√ts’uy’hw,dry: get dry,
306,sts’uy’hw,sts'uy'hw,√ts’uy’hw,s=√ts’uy’hw,dried smoked salmon,
307,sts’uy’hw,sts'uy'hw,√ts’uy’hw,s=√ts’uy’hw,dry (food); dried food,
308,ts’i’ts’ey’hwt,ts'i'ts'ey'hwt,√ts’uy’hw,√ts’uy’hw=DIM=PROG,drying it DIM,
309,sts’ey’hw,sts'ey'hw,√ts’uy’hw,s=√ts’uy’hw=STA,dry,
310,sts’uy’ts’ey’hw,sts'uy'ts'ey'hw,√ts’uy’hw,s=√ts’uy’hw=STA=PL,"dry,PL",
311,ts’uy’hwt,ts'uy'hwt,√ts’uy’hw,√ts’uy’hw=t,dry it,
312,ts’ey’hwt,ts'ey'hwt,√ts’uy’hw,√ts’uy’hw=t=PROG,drying it,
313,ts’uli’ts’ey’hwt,ts'uli'ts'ey'hwt,√ts’uy’hw,√ts’uy’hw=t=DIM=PL=PROG,drying them DIM,
314,ts’uy’hwtum,ts'uy'hwtum,√ts’uy’hw,√ts’uy’hw=t=m,dry something,
315,ts’uy’hwthaam,ts'uy'hwthaam,√ts’uy’hw,√ts’uy’hw=t=saam,dry: you are dry,
316,ts’uy’hwels,ts'uy'hwels,√ts’uy’hw,√ts’uy’hw=els,dry something; weather dries out,
317,ts’eyuhwum,ts'eyuhwum,√ts’uy’hw,√ts’uy’hw=m,dry: get dry (weather),
318,ts’ey’hwul’s,ts'ey'hwul's,√ts’uy’hw,√ts’uy’hw=els=PROG,drying it,
319,ts’i’ts’ey’hwul’s,ts'i'ts'ey'hwul's,√ts’uy’hw,√ts’uy’hw=els=DIM=PROG,drying something DIM,
320,ts’ey’hwum’,ts'ey'hwum',√ts’uy’hw,√ts’uy’hw=m=PROG,dry: getting dry (weather),
321,ts’uyts’eyuhwum,ts'uyts'eyuhwum,√ts’uy’hw,√ts’uy’hw=m=PL,dry: get dry (weather) PL,
322,ts’uy’hwule’tst,ts'uy'hwule'tst,√ts’uy’hw,√ts’uy’hw=ule’ts=t,"dry a bundle,bales of hay",
323,ts’ey’hwul’utst,ts'ey'hwul'utst,√ts’uy’hw,√ts’uy’hw=ule’ts=t=PROG,drying it (bales of hay),
324,ts’uy’hwe’le’tsels,ts'uy'hwe'le'tsels,√ts’uy’hw,√ts’uy’hw=ule’ts=els,dry bundles,
325,ts’uy’hwul’muhw,ts'uy'hwul'muhw,√ts’uy’hw,√ts’uy’hw=ul=muhw,dry: breast milk has dried up,
326,ts’uy’hwulhp,ts'uy'hwulhp,√ts’uy’hw,√ts’uy’hw=ulhp,dry (of a tree or shrub),
327,ts’ey’hwulhpt,ts'ey'hwulhpt,√ts’uy’hw,√ts’uy’hw=ulhp=t=PROG,drying a tree,
328,hwts’uy’hwuqun,hwts'uy'hwuqun,√ts’uy’hw,hw=√ts’uy’hw=uqun,thirsty (dry throat),
329,hwts’ey’hwuqun’,hwts'ey'hwuqun',√ts’uy’hw,hw=√ts’uy’hw=uqun=PROG,thirsty: being thirsty,
330,ts’uy’hwul’qun,ts'uy'hwul'qun,√ts’uy’hw,√ts’uy’hw=al’=qen,dry wool,
331,ts’ey’hwul’qun’,ts'ey'hwul'qun',√ts’uy’hw,√ts’uy’hw=al’=qen=PROG,drying wool,
332,ts’uy’hwul’qut,ts'uy'hwul'qut,√ts’uy’hw,√ts’uy’hw=al’=qen=t,dry it (wool),
333,ts’ey’hwul’qut,ts'ey'hwul'qut,√ts’uy’hw,√ts’uy’hw=al’=qen=t=PROG,drying it (wool),
334,ts’iit,ts'iit,√ts’ih,√ts’ih=t,thank; greet,See also ts'i'ut [√ts'i'u].
335,ts’iitalu,ts'iitalu,√ts’ih,√ts’ih=t=alu,thank you,
336,ts’iitewut,ts'iitewut,√ts’ih,√ts’ih=t=ewut,thank; greet PASS,
337,ts’iitum,ts'iitum,√ts’ih,√ts’ih=t=m,thank; greet PASS,
338,ts’uy’ulh,ts'uy'ulh,√ts’ih,√ts’ih=ulh,thank; express appreciation,
339,ts’ilum,ts'ilum,√ts’il,√ts’il=m,"mount,get on (for ex a horse)",
340,ts’u’ilum’,ts'u'ilum',√ts’il,√ts’il=m=STA,mounted,
341,ts’i’ult,ts'i'ult,√ts’il,√ts’il’=t,take it away (for ex take the ball from an opponant),
342,ts’e’ts’ulitul’,ts'e'ts'ulitul',√ts’il,√ts’il’=tal=DUR,taking it away from each other,
343,ts’ul’amut,ts'ul'amut,√ts’il,√ts’il’=amut,take away a spouse,
344,ts’imul’,ts'imul',√ts’imul’,√ts’imul’,close: get close,
345,yu ts’its’umul’,yu ts'its'umul',√ts’imul’,yu √ts’imul’=PROG,close: approaching,
346,ts’imul’nuhw,ts'imul'nuhw,√ts’imul’,√ts’imul’=nehw,close: get close to (manage to),
347,ts’imuthut,ts'imuthut,√ts’imul’,√ts’imul’=that,close: get self close,
348,ts’isum,ts'isum,√ts’is,√ts’is=m,grow,
349,ts’uts’i’ts’usum’,ts'uts'i'ts'usum',√ts’is,√ts’is=m=PROG=DIM,growing DIM,
350,yu ts’its’usum’,yu ts'its'usum',√ts’is,yu √ts’is=m=PROG,growing,
351,sts’iyayu,sts'iyayu,√ts’iyayu,s=√ts’iyayu,twins,
352,ts’i’ut,ts'i'ut,√ts’i’u,√ts’i’u=t,show gratitude/wave,See also ts'iit [√ts'ih].
353,ts’e’ts’i’ut,ts'e'ts'i'ut,√ts’i’u,√ts’i’u=t=DIM,show gratitude ,
354,ts’i’utham’sh,ts'i'utham'sh,√ts’i’u,√ts’i’u=t=sam’sh,"show me gratitude,always waving to me",
355,ts’lh,ts'lh,√ts’lh,√ts’lh,"fellow-,co-(prefix)",
356,ts’lha’la’,ts'lha'la',√ts’lhal’a’,√ts’lhal’a’,birdlice,
357,ts’uqw,ts'uqw,√ts’qwa,√ts’qwa,"absorbed,dry",
358,ts’aqwul,ts'aqwul,√ts’qwa,√ts’qwa=il,"absorb,dry",
359,ts’qwilthut,ts'qwilthut,√ts’qwa,√ts’qwa=il=that,soak or absorb into the ground,
360,ts’qwulhp,ts'qwulhp,√ts’qwa,√ts’qwa=ulhp,larch (unsure),
361,ts’uqw’,ts'uqw',√ts’qw’a,√ts’qw’a,"pierced,shot",
362,ts’uts’uqw’,ts'uts'uqw',√ts’qw’a,√ts’qw’a=PROG,"pierced: getting pierced,shot",
363,sts’uts’aqw’,sts'uts'aqw',√ts’qw’a,s=√ts’qw’a=STA,"pierced,shot",
364,sts’uts’aqw’stuhw,sts'uts'aqw'stuhw,√ts’qw’a,s=√ts’qw’a=stuhw=STA,"pierced,shot: had it shot",
365,ts’qw’at,ts'qw'at,√ts’qw’a,√ts’qw’a=t,"pierce it,poke a needle in",
366,ts’uqw’nehw,ts'uqw'nehw,√ts’qw’a,√ts’qw’a=nehw,"shoot,pierce (manage to)",
367,ts’aqw’t,ts'aqw't,√ts’qw’a,√ts’qw’a=t=PROG,"piercing it,shooting it",
368,ts’aqw’nuhw,ts'aqw'nuhw,√ts’qw’a,√ts’qw’a=nehw=PROG,"shooting it,piercing it (managing to,accidentally)",
369,ts’qw’e’um,ts'qw'e'um,√ts’qw’a,√ts’qw’a=m,poke through something,
370,shts’aqw’ul’s,shts'aqw'ul's,√ts’qw’a,shhw=√ts’qw’a=els=PROG,fork: hay fork,
371,ts’qw’alstun,ts'qw'alstun,√ts’qw’a,√ts’qw’a=als=ten,fork: table fork,
372,ts’uqw’um’,ts'uqw'um',√ts’qw’a,√ts’qw’a=m=PROG,poking through something,
373,ts’qw’els,ts'qw'els,√ts’qw’a,√ts’qw’a=els,poke through (for ex working on a mat),
374,ts’aqw’ul’s,ts'aqw'ul's,√ts’qw’a,√ts’qw’a=els=PROG,poking through (for ex working on a mat),Also ts'uqw'ul's.
375,ts’qw’uthut,ts'qw'uthut,√ts’qw’a,√ts’qw’a=that,pierce self,
376,ts’aqw’thut,ts'aqw'thut,√ts’qw’a,√ts’qw’a=that=PROG,piercing self,
377,ts’qw’e’lhtun,ts'qw'e'lhtun,√ts’qw’a,√ts’qw’a=e’lh=ten,needle: wooden needle used to lace bullrushes,
378,sts’qw’un’u,sts'qw'un'u,√ts’qw’a,s=√ts’qw’a=un’u,earring,
379,tsts’qw’un’u,tsts'qw'un'u,√ts’qw’a,ts=√ts’qw’a=un’u,earring (have an earring),
380,sts’uqw’shen,sts'uqw'shen,√ts’qw’a,s=√ts’qw’a=shen,sliver (what has pierced the foot),
381,ts’usts’ustsin’,ts'usts'ustsin',√ts’se,√ts’se=utsun=PL=STA,"spider,spiderweb",
382,ts’sey’,ts'sey',√ts’sey’,√ts’sey’,Douglas fir,
383,ts’tem,ts'tem,√ts’te,√ts’te=m,crawl,
384,ts’utum’,ts'utum',√ts’te,√ts’te=m=PROG,"crawling,dragging along (for ex cat)",
385,ts’utum’,ts'utum',√ts’te,√ts’te=m=PROG,"woodpecker,sapsucker",
386,sts’tishum’,sts'tishum',√ts’tishum’,s=√ts’tishum’,rope (cedar rope)," See also xwi'lum,rope,string."
387,ts’twa’,ts'twa',√ts’twa’,√ts’twa’,"perhaps,might"," Usually follows 'i or ni',beginning a sentence."
388,ts’uhw,ts'uhw,√ts’hwa,√ts’hwa,"more,increase",
389,sts’uts’ihw,sts'uts'ihw,√ts’hwa,s=√ts’hwa=STA,more: get more,
390,ts’hwat,ts'hwat,√ts’hwa,√ts’hwa=t,more: add more to it,
391,ts’ehwt,ts'ehwt,√ts’hwa,√ts’hwa=t=PROG,more: adding more to it,
392,ts’hwalust,ts'hwalust,√ts’hwa,√ts’hwa=alus=t,more: add more (stitches),
393,shts’uhwnuts,shts'uhwnuts,√ts’hwa,shhw=√ts’hwa=nets,interest (for ex on money),
394,shts’uhwnutstun,shts'uhwnutstun,√ts’hwa,shhw=√ts’hwa=nets=ten,"cushion (a seat cushion in a car,raising the driver)",
395,ts’hwulhqut,ts'hwulhqut,√ts’hwa,√ts’hwa=ulhqu,more: add (liquid),
396,ts’xemun,ts'xemun,√ts’xemun,√ts’xemun,chest,
397,ch,ch,√ch,√ch,you,A subject particle which follows the first word of the sentence or phrase.
398,chuchi’q’un’,chuchi'q'un',√chuchi’q’un’,√chuchi’q’un’,mink,
399,chukunew’t-hw,chukunew't-hw,√chukun,√chukun=ew’t-hw,chicken coop,
400,chukuns,chukuns,√chukuns,√chukuns,chicken,from English “chicken”.
401,chumux,chumux,√chumux,√chumux,"pitch,chewing gum",See also kw'i'hw.
402,lhchumux,lhchumux,√chumux,lh=√chumux,chew gum,
403,lhchum’ux,lhchum'ux,√chumux,lh=√chumux=PROG,"chewing gum (verb,to be chewing gum)",
404,shchuymuna’lh,shchuymuna'lh,√chuymun,s=√chuymun=a’lh,Chinese (attributive),
405,chuymunulwut,chuymunulwut,√chuymun,√chuymun=ulwut,"jeans,denim",
406,chikmun,chikmun,√chik,√chik=mun,metal; knitting needles; wire,Probably from chinook.
407,chq’un,chq'un,√chq’un,√chq’un,file (noun),
408,ch’ukwx,ch'ukwx,√ch’ukwx,√ch’ukwx,fry,Agent subject.
409,ch’ekwx,ch'ekwx,√ch’ukwx,√ch’ukwx=PROG,frying,
410,shch’ekwx,shch'ekwx,√ch’ukwx,s=√ch’ukwx=STA,fried,
411,ch’ukwxt,ch'ukwxt,√ch’ukwx,√ch’ukwx=t,fry it,
412,ch’ekwxt,ch'ekwxt,√ch’ukwx,√ch’ukwx=t=PROG,frying it,
413,ch’i’ch’ekwxt,ch'i'ch'ekwxt,√ch’ukwx,√ch’ukwx=t=DIM=PROG,frying it ,
414,ch’ukwxels,ch'ukwxels,√ch’ukwx,√ch’ukwx=els,fry (something),
415,ch’ekwuxum,ch'ekwuxum,√ch’ukwx,√ch’ukwx=m,"sizzling,spattering sound (for ex grease in a hot pan)",
416,ch’ukwxe’um,ch'ukwxe'um,√ch’ukwx,√ch’ukwx=m,fry (something),
417,ch’ekwxul’s,ch'ekwxul's,√ch’ukwx,√ch’ukwx=els=PROG,frying (something),
418,ch’ekwxum’,ch'ekwxum',√ch’ukwx,√ch’ukwx=m=PROG,"sizzling,spattering sound (for ex grease in a hot pan)",
419,shch’ekwxul’s,shch'ekwxul's,√ch’ukwx,shhw=√ch’ukwx=els=PROG,frying pan,
420,ch’ukwxelstuhw,ch'ukwxelstuhw,√ch’ukwx,√ch’ukwx=els=stuhw,"fry: take him/her to fry some (meat,fish)",
421,ch’ukwxelstelum,ch'ukwxelstelum,√ch’ukwx,√ch’ukwx=els=stuhw=elum,fry: take me to fry something PASS,
422,haan’,haan',√haan’,√haan’,salmon: humpback (pinks),
423,hakw,hakw,√hakw,√hakw,use,
424,hakwush,hakwush,√hakw,√hakw=sh,"use it,wear it",See also 'itth'um [√'itth'] and t'uyum't [√t'uyum'].
425,ha’kwush,ha'kwush,√hakw,√hakw=sh=PROG,using it; wearing it,
426,haputiil’,haputiil',√haputiil’,√haputiil’,cricket (insect),
427,s-haqw,s-haqw,√haqw,s=√haqw,odour (pleasant or unpleasant),
428,huqwnuhw,huqwnuhw,√haqw,√haqw=nehw,smell it,
429,haqwut,haqwut,√haqw,√haqw=t,smell it,
430,haqwum,haqwum,√haqw,√haqw=m,smell bad (for ex rotten fish smell),
431,hasut,hasut,√has,√has=t,blow on it,
432,ha’hwthut,ha'hwthut,√ha’hw,√ha’hw=thut,"steam bathe,use a sweat lodge",
433,hay,hay,√hay,√hay,finished; done; stop,Alternate spelling of huy. See √huy.
434,ha’yul’uq,ha'yul'uq,√hay’ul’uq,√hay’ul’uq,wave,
435,ha’,ha',√ha’,√ha’,if; when,
436,ha’put,ha'put,√ha’put,√ha’put,deer (an old word ~ see smuyuth),
437,hee’nut,hee'nut,√heen’,√heen’=t,sing a lullabye to someone," Possibly related to heet √heh.,put to sleep."
438,hee’nuthut,hee'nuthut,√heen’,√heen’=that,singing self to sleep (a baby),
439,hun’uyulh,hun'uyulh,√heen’,√heen’=eyulh,sing a lullabye to your baby,
440,hee’nuy’ulh,hee'nuy'ulh,√heen’,√heen’=eyulh=PROG,singing a lullabye to your baby,
441,hekw’,hekw',√hekw’,√hekw’,remember,
442,he’kw’,he'kw',√hekw’,√hekw’=PROG,remembering,
443,hesum,hesum,√hes,√hes=m,sneeze,
444,he’sum’,he'sum',√hes,√hes=m=PROG,sneezing,
445,hetth’um,hetth'um,√hetth’,√hetth’=m,breathe,
446,he’tth’um’,he'tth'um',√hetth’,√hetth’=m=PROG,breathing,
447,hi’he’tth’um’,hi'he'tth'um',√hetth’,√hetth’=m=DIM=PROG,breathing ,
448,hewt,hewt,√hewt,√hewt,rat,
449,hehuw’t,hehuw't,√hewt,√hewt=DIM,rat: little rat,
450,hee’wu,hee'wu,√he’wu,√he’wu,"go on a trip,to depart,be away from home",
451,hey’,hey',√hey’,√hey’,attention!," Used,for example at the start of a canoe race."
452,he’yum,he'yum,√hey’,√hey’=m,bake bread (prepare dough and bake),
453,heeyum’,heeyum',√hey’,√hey’=m=PROG,baking bread,
454,hi’heeyum’,hi'heeyum',√hey’,√hey’=m=DIM=PROG,baking bread DIM,
455,hee’,hee',√he’,√he’,yes (an expression),
456,huli,huli,√huli,√huli,alive,
457,shhwuli,shhwuli,√huli,shhw=√huli,"survival items (food,medicine); endearment term used by elders to their offspring",
458,hulinhw,hulinhw,√huli,√huli=nehw,saved someone,
459,hulit,hulit,√huli,√huli=t,"save one's life; to resuscitate,revive from unconsciousness",
460,hwu he’lit,hwu he'lit,√huli,hwu √huli=t=DUR,saving life (come to be saving),
461,hulitham’sh,hulitham'sh,√huli,√huli=t=sam’sh,save my life,
462,hulitum,hulitum,√huli,√huli=t=m,"save,bring back to life PASS",
463,hulitewut,hulitewut,√huli,√huli=t=ewut,save (live) PASS,
464,hulithut,hulithut,√huli,√huli=that,"save oneself,come to life",
465,hul’xuw’e,hul'xuw'e,√hul’xwuw’e,√hul’xwuw’e,pitlamp (for fish),
466,hil’xuw’e,hil'xuw'e,√hul’xwuw’e,√hul’xwuw’e=PROG,pitlamping (for ex for fish),
467,humun,humun,√humun,√humun,hammer (noun),
468,hum’i,hum'i,√hum’i,√hum’i,come: coming,See also m'i [√m'i].
469,hum’a,hum'a,√hum’a,√hum’a,pigeon,
470,shhwunum’,shhwunum',√hunum’,shhw=√hunum’,"discuss,talk about",
471,shhwuhunum’,shhwuhunum',√hunum’,shhw=√hunum’=PROG,talking about,
472,hun’,hun',√hun’,√hun’,arrive: prefix meaning to arrive at a destination,
473,huw’a’lum’,huw'a'lum',√huw’al’,√huw’al’=m,play,
474,suw’a’lum’,suw'a'lum',√huw’al’,s=√huw’al’=m,"toy,game",
475,hiw’a’lum’,hiw'a'lum',√huw’al’,√huw’al’=m=PROG,"playing,having games (competition)",Also transcribed as hiiw'a'lum'.
476,tsiw’a’lum’,tsiw'a'lum',√huw’al’,ts=√huw’al’=m=STA,making fun of,
477,shhwiw’a’lum’,shhwiw'a'lum',√huw’al’,shhw=√huw’al’=m=STA,playground,Also transcribed as shhwiiw'a'lum'.
478,hiw’a’lum’stun’a’mut,hiw'a'lum'stun'a'mut,√huw’al’,√huw’al’=m=stunamut,pretending to play,Or hiiw'a'lum'stun'a'mut.
479,ts’lhhiw’a’lum’tul’,ts'lhhiw'a'lum'tul',√huw’al’,ts’lh=√huw’al’=m=tal=PROG,playmate,
480,huw’a’lum’stuhw,huw'a'lum'stuhw,√huw’al’,√huw’al’=m=stuhw,play with him/her,
481,hiw’a’lum’stuhw,hiw'a'lum'stuhw,√huw’al’,√huw’al’=m=stuhw=PROG,playing with him/her,
482,huw’lhthut,huw'lhthut,√huw’lh-that,√huw’lh=that,rough on) (root?,root?.
483,huy,huy,√huy,√huy,"done,finished",Also spelled hay.
484,huy,huy,√huy,√huy,only,
485,huy,huy,√huy,√huy,"when,whenever",
486,huy,huy,√huy,√huy,most,Used with 'ul' in this sense.
487,t-hwuy,t-hwuy,√huy,t-hw=√huy,just about to,Also spelled thway.
488,t-hwuy,t-hwuy,√huy,t-hw=√huy,"last,remaining",Also spelled thway.
489,shhwuy,shhwuy,√huy,shhw=√huy,"last one,final,finish",
490,hey’,hey',√huy,√huy=PROG,doing that,
491,say’,say',√huy,s=√huy=STA,"ready; finished,built",
492,say’stuhw,say'stuhw,√huy,s=√huy=stuhw=STA,"prepared,have it ready",
493,huystuhw,huystuhw,√huy,√huy=stuhw,"stop it,make him quit",
494,huystum,huystum,√huy,√huy=stuhw=m,"stop it,make him quit PASS",
495,hay’stum’,hay'stum',√huy,√huy=stuhw=m=PROG,"stopping,making him quit PASS",
